CustomerID,Recency,Frequency,Monetary,Cluster,TSNE-1,TSNE-2,TSNE-3
12346.0,325,1,77183.6,3,18.267033,1.4301432,-4.9737
12347.0,1,7,4310.0,0,18.152157,0.2930308,6.1147785
12348.0,74,4,1797.24,0,2.9442093,-3.1002975,3.7667174
12349.0,18,1,1757.55,0,-7.4895816,-17.057236,-11.531345
12350.0,309,1,334.4,1,4.730758,16.435036,11.453914
12352.0,35,8,2506.04,0,12.510135,3.2894416,8.092916
12353.0,203,1,89.0,1,1.814337,11.661113,-13.303034
12354.0,231,1,1079.4,1,-2.888423,20.149982,-8.242907
12355.0,213,1,459.4,1,1.5092477,14.642817,-11.5902195
12356.0,22,3,2811.43,0,0.513226,-15.448041,1.6463443
12357.0,32,1,6207.67,0,13.724128,-3.6509912,0.09313731
12358.0,1,2,1168.06,0,6.4571404,-19.462221,-5.98878
12359.0,57,4,6372.58,0,13.058845,-2.0844095,1.4297389
12360.0,51,3,2662.06,0,-1.4286364,-9.218258,6.8524275
12361.0,286,1,189.9,1,-3.2129867,14.209371,10.879802
12362.0,2,10,5226.23,0,16.724812,6.0340385,3.457638
12363.0,109,2,552.0,0,-9.425327,1.6234052,7.545932
12364.0,7,4,1313.1,0,15.060549,-8.101463,-6.03361
12365.0,290,2,641.38,1,0.11716545,16.979727,5.753934
12367.0,3,1,168.9,0,-7.273555,-22.65647,-6.2285275
12370.0,50,4,3545.69,0,9.103289,-4.302342,0.77020824
12371.0,44,2,1887.96,0,-6.108103,-10.348223,2.0658092
12372.0,71,3,1298.04,0,-1.1617713,-5.7685137,9.7475
12373.0,310,1,364.6,1,5.0592647,16.623198,11.290074
12374.0,24,1,742.9300000000001,0,-6.4164715,-14.088911,-14.370823
12375.0,10,2,457.5,0,5.5244617,-16.164745,-10.872565
12377.0,314,2,1628.12,1,4.0300655,17.675514,7.3468614
12378.0,129,1,4008.62,0,-2.9224257,-3.33321,5.04925
12379.0,81,2,852.24,0,-10.531964,-4.8079967,10.702974
12380.0,21,4,2724.81,0,12.315674,-6.358213,-1.8248156
12381.0,4,5,1845.31,0,15.225453,-11.915657,2.7229784
12383.0,184,5,1850.56,1,2.9747617,7.786927,0.70282656
12384.0,28,2,585.27,0,-2.561889,-9.918068,-5.228193
12386.0,337,2,401.9,1,5.377393,20.328335,5.845775
12388.0,15,6,2780.66,0,16.38559,-4.6070957,6.283991
12390.0,79,1,549.84,0,-20.103071,-4.2604914,0.81061476
12391.0,21,1,460.89,0,-7.77415,-15.016991,-14.927647
12393.0,71,4,1582.6000000000001,0,2.9228761,-3.2462308,3.2755158
12394.0,63,2,1272.48,0,-9.410029,-9.260282,8.022377
12395.0,18,12,3018.63,0,12.846013,9.420688,1.9119877
12397.0,35,2,2409.9,0,-0.93522346,-12.492365,-1.7331663
12398.0,45,1,1635.6599999999999,0,-14.613457,-1.3181602,-11.873568
12399.0,118,4,1108.65,0,0.13600953,3.2540789,5.9258866
12401.0,302,1,84.3,1,2.3107133,15.24552,12.261211
12402.0,322,1,225.6,1,7.9673257,20.01827,8.951247
12403.0,49,1,427.7,0,-14.306888,0.4733908,-14.958338
12405.0,148,1,1710.39,1,-10.620669,7.115834,-4.461578
12406.0,21,2,3415.3,0,1.1264479,-15.036614,-0.27920774
12407.0,49,5,1708.1200000000001,0,8.038943,-4.4962487,6.4600205
12408.0,32,5,2888.55,0,11.345368,-6.217465,4.303306
